Number,Position_Y,Position_X,Surface_pixels,Color_Average,Luminosity_Average
1,1362,19,4478.5,gainsboro,223.0526
2,1179,44,8990.0,gainsboro,213.0096
3,1811,68,12814.0,gainsboro,211.7104
4,1680,157,42001.0,gainsboro,216.6672
5,1855,137,15790.0,pink,197.8498
6,1066,69,7987.0,silver,159.40339999999998
7,877,86,19995.5,gray,151.3706
8,659,300,44535.0,gainsboro,216.3824
9,1503,235,36109.5,pink,209.078
10,1331,208,32271.0,pink,212.8666
11,1099,123,7331.0,gainsboro,200.0766
12,338,337,97274.0,gainsboro,208.2562
13,976,195,13232.5,silver,193.1238
14,604,251,25165.5,gray,101.4852
15,1826,249,2765.5,silver,193.6068
16,1293,317,21876.5,pink,199.906
17,1447,299,8797.5,pink,206.22119999999995
18,1702,291,4895.0,gainsboro,219.953
19,1805,338,9235.0,silver,201.4728
20,1452,413,9102.0,pink,200.2068
21,1741,415,14595.5,beige,228.3896
22,1535,503,24104.5,gray,80.58879999999999
23,1331,454,9922.0,gainsboro,215.309
24,119,454,3859.5,silver,168.376
25,123,564,30883.5,gainsboro,211.8352
26,849,684,39375.5,silver,192.2012
27,440,601,8678.5,indigo,76.3906
28,558,652,22298.5,indigo,72.3092
29,1023,709,49760.0,gainsboro,220.595
30,1428,701,17414.0,pink,194.6236
31,752,801,27256.5,plum,178.7788
32,656,851,11666.5,beige,228.9592
33,995,834,3282.0,gainsboro,207.7918
34,1134,862,14491.5,pink,191.3324
35,991,970,29355.0,gainsboro,210.3928
36,844,966,17646.0,pink,192.8246
37,349,922,10072.0,pink,185.6946
38,529,941,11009.0,pink,193.419
39,366,1005,18799.0,plum,189.9352
40,822,1115,46306.0,gainsboro,221.7116
41,427,1211,53099.5,pink,216.1646
42,218,1164,14057.0,pink,206.9416
43,1122,1204,6794.0,silver,201.1106
44,926,1234,3947.0,silver,172.1318
45,1031,1292,27574.5,gainsboro,215.6092
46,156,1304,37621.0,pink,192.5438
47,747,1301,28579.0,silver,182.44000000000003
48,1181,1399,30275.5,silver,180.6974
49,222,1418,22244.5,pink,193.1868
