Number,Color_Average,Luminosity_Average
1,"(233, 220, 224)",223.05259999999998
2,"(214, 211, 230)",213.00959999999998
3,"(219, 208, 227)",211.7104
4,"(245, 207, 229)",216.66719999999998
5,"(243, 183, 212)",197.8498
6,"(210, 144, 163)",159.40339999999998
7,"(152, 149, 173)",151.3706
8,"(244, 207, 228)",216.3824
9,"(246, 197, 220)",209.07799999999997
10,"(247, 202, 220)",212.8666
11,"(204, 197, 219)",200.07659999999998
12,"(193, 211, 226)",208.25619999999998
13,"(175, 196, 218)",193.1238
14,"(88, 101, 146)",101.48519999999999
15,"(184, 194, 218)",193.6068
16,"(249, 185, 203)",199.90599999999998
17,"(245, 193, 223)",206.22119999999995
18,"(212, 221, 233)",219.95299999999997
19,"(186, 204, 222)",201.47279999999998
20,"(246, 185, 216)",200.2068
21,"(244, 225, 216)",228.3896
22,"(84, 76, 116)",80.58879999999999
23,"(245, 205, 230)",215.30899999999997
24,"(201, 157, 185)",168.376
25,"(229, 205, 229)",211.8352
26,"(171, 196, 217)",192.20119999999997
27,"(72, 74, 113)",76.3906
28,"(72, 69, 106)",72.3092
29,"(249, 211, 232)",220.59499999999997
30,"(239, 182, 189)",194.6236
31,"(222, 165, 188)",178.7788
32,"(246, 225, 218)",228.95919999999998
33,"(211, 205, 226)",207.79179999999997
34,"(240, 177, 190)",191.33239999999998
35,"(232, 203, 220)",210.39280000000002
36,"(246, 177, 193)",192.82459999999998
37,"(232, 172, 185)",185.6946
38,"(235, 181, 194)",193.419
39,"(230, 176, 210)",189.9352
40,"(227, 219, 233)",221.71159999999998
41,"(246, 206, 229)",216.1646
42,"(242, 195, 222)",206.94160000000002
43,"(188, 203, 221)",201.1106
44,"(152, 175, 203)",172.1318
45,"(202, 218, 232)",215.6092
46,"(244, 177, 195)",192.5438
47,"(182, 181, 198)",182.44000000000003
48,"(163, 183, 210)",180.6974
49,"(244, 178, 194)",193.18679999999998
50,"(223, 189, 218)",198.3222
51,"(206, 213, 228)",212.5948
52,"(184, 207, 224)",203.33759999999998
53,"(121, 137, 172)",136.12539999999998
54,"(136, 161, 196)",158.212
55,"(211, 220, 232)",218.95299999999997
56,"(222, 233, 241)",231.239
57,"(248, 205, 225)",215.5858
58,"(249, 192, 215)",205.7788
59,"(223, 191, 219)",199.82479999999998
60,"(248, 189, 210)",203.05960000000002
61,"(247, 212, 232)",220.885
62,"(238, 179, 208)",193.63719999999998
63,"(239, 206, 229)",214.6764
64,"(228, 149, 156)",166.3008
65,"(249, 181, 198)",196.6842
66,"(198, 212, 227)",210.1066
67,"(248, 206, 229)",216.58979999999997
68,"(197, 214, 231)",211.6132
69,"(192, 205, 222)",203.46359999999999
70,"(246, 210, 234)",219.38639999999998
71,"(233, 180, 199)",192.63959999999997
72,"(184, 200, 221)",198.1146
73,"(220, 230, 239)",228.52379999999997
74,"(247, 189, 217)",203.3524
75,"(116, 142, 183)",139.4326
76,"(247, 198, 221)",210.078
77,"(236, 214, 211)",218.46059999999997
78,"(61, 66, 112)",68.2582
79,"(103, 123, 172)",122.28580000000001
80,"(179, 197, 218)",194.68939999999998
81,"(56, 61, 119)",64.12459999999999
82,"(241, 178, 204)",193.271
83,"(157, 176, 204)",173.9822
84,"(87, 111, 163)",109.65199999999999
85,"(127, 116, 155)",121.15440000000001
86,"(247, 170, 192)",187.9586
87,"(138, 161, 193)",158.42059999999998
88,"(216, 194, 197)",198.8938
89,"(186, 146, 167)",156.0202
90,"(203, 187, 211)",192.1344
91,"(244, 204, 229)",214.30899999999997
92,"(236, 193, 221)",204.16339999999997
93,"(243, 211, 233)",219.39159999999998
94,"(235, 153, 167)",171.444
95,"(242, 182, 214)",197.06639999999996
96,"(201, 176, 208)",183.62539999999998
97,"(212, 203, 224)",206.4296
98,"(229, 156, 163)",172.02519999999998
99,"(230, 129, 142)",151.41119999999998
100,"(243, 150, 169)",171.1436
101,"(232, 136, 149)",157.3482
102,"(220, 181, 213)",191.60180000000003
103,"(245, 186, 216)",200.7094
104,"(248, 167, 201)",186.6754
105,"(232, 201, 229)",209.61219999999997
106,"(69, 70, 104)",72.24219999999998
107,"(228, 200, 207)",206.4582
108,"(178, 144, 183)",154.04420000000002
109,"(184, 214, 227)",208.5606
110,"(82, 70, 106)",75.15039999999999
111,"(249, 168, 191)",186.8812
112,"(187, 119, 146)",135.40619999999998
113,"(220, 178, 204)",188.8064
114,"(227, 165, 199)",180.636
115,"(168, 138, 174)",146.9772
116,"(247, 193, 222)",206.5742
117,"(247, 207, 230)",217.16459999999998
118,"(244, 151, 179)",172.7934
119,"(240, 168, 190)",184.89559999999997
120,"(250, 153, 179)",175.4994
121,"(250, 207, 226)",217.5136
122,"(235, 148, 169)",168.01239999999999
123,"(246, 187, 210)",201.204
124,"(230, 162, 189)",178.4062
125,"(214, 198, 222)",203.1344
126,"(245, 204, 227)",214.3772
127,"(249, 197, 217)",209.49919999999997
128,"(245, 161, 181)",180.30239999999998
