Number,Color_Average,Luminosity_Average
1,gainsboro,223.05259999999998
2,gainsboro,213.00959999999998
3,gainsboro,211.7104
4,gainsboro,216.66719999999998
5,pink,197.8498
6,silver,159.40339999999998
7,gray,151.3706
8,gainsboro,216.3824
9,pink,209.07799999999997
10,pink,212.8666
11,gainsboro,200.07659999999998
12,gainsboro,208.25619999999998
13,silver,193.1238
14,gray,101.48519999999999
15,silver,193.6068
16,pink,199.90599999999998
17,pink,206.22119999999995
18,gainsboro,219.95299999999997
19,silver,201.47279999999998
20,pink,200.2068
21,beige,228.3896
22,gray,80.58879999999999
23,gainsboro,215.30899999999997
24,silver,168.376
25,gainsboro,211.8352
26,silver,192.20119999999997
27,indigo,76.3906
28,indigo,72.3092
29,gainsboro,220.59499999999997
30,pink,194.6236
31,plum,178.7788
32,beige,228.95919999999998
33,gainsboro,207.79179999999997
34,pink,191.33239999999998
35,gainsboro,210.39280000000002
36,pink,192.82459999999998
37,pink,185.6946
38,pink,193.419
39,plum,189.9352
40,gainsboro,221.71159999999998
41,pink,216.1646
42,pink,206.94160000000002
43,silver,201.1106
44,silver,172.1318
45,gainsboro,215.6092
46,pink,192.5438
47,silver,182.44000000000003
48,silver,180.6974
49,pink,193.18679999999998
50,plum,198.3222
51,gainsboro,212.5948
52,silver,203.33759999999998
53,gray,136.12539999999998
54,silver,158.212
55,gainsboro,218.95299999999997
56,gainsboro,231.239
57,pink,215.5858
58,pink,205.7788
59,gainsboro,199.82479999999998
60,pink,203.05960000000002
61,gainsboro,220.885
62,pink,193.63719999999998
63,gainsboro,214.6764
64,salmon,166.3008
65,pink,196.6842
66,gainsboro,210.1066
67,pink,216.58979999999997
68,gainsboro,211.6132
69,gainsboro,203.46359999999999
70,gainsboro,219.38639999999998
71,pink,192.63959999999997
72,silver,198.1146
73,gainsboro,228.52379999999997
74,pink,203.3524
75,gray,139.4326
76,pink,210.078
77,gainsboro,218.46059999999997
78,indigo,68.2582
79,gray,122.28580000000001
80,silver,194.68939999999998
81,indigo,64.12459999999999
82,pink,193.271
83,silver,173.9822
84,gray,109.65199999999999
85,gray,121.15440000000001
86,pink,187.9586
87,silver,158.42059999999998
88,silver,198.8938
89,silver,156.0202
90,silver,192.1344
91,gainsboro,214.30899999999997
92,pink,204.16339999999997
93,gainsboro,219.39159999999998
94,plum,171.444
95,pink,197.06639999999996
96,silver,183.62539999999998
97,gainsboro,206.4296
98,plum,172.02519999999998
99,salmon,151.41119999999998
100,pink,171.1436
101,salmon,157.3482
102,plum,191.60180000000003
103,pink,200.7094
104,pink,186.6754
105,gainsboro,209.61219999999997
106,indigo,72.24219999999998
107,gainsboro,206.4582
108,silver,154.04420000000002
109,gainsboro,208.5606
110,indigo,75.15039999999999
111,pink,186.8812
112,gray,135.40619999999998
113,plum,188.8064
114,plum,180.636
115,gray,146.9772
116,pink,206.5742
117,gainsboro,217.16459999999998
118,plum,172.7934
119,pink,184.89559999999997
120,pink,175.4994
121,pink,217.5136
122,plum,168.01239999999999
123,pink,201.204
124,plum,178.4062
125,gainsboro,203.1344
126,pink,214.3772
127,pink,209.49919999999997
128,pink,180.30239999999998
129,plum,191.7868
130,plum,180.25799999999998
131,silver,188.1474
132,pink,199.86939999999998
133,plum,191.10559999999998
134,silver,167.847
135,pink,183.8286
136,silver,187.3312
137,pink,204.9244
138,silver,196.88239999999996
139,pink,178.809
140,plum,178.92199999999997
141,silver,158.7054
142,salmon,165.2852
143,salmon,147.4272
144,gainsboro,215.9612
145,plum,172.2762
146,pink,208.7326
147,pink,199.628
148,pink,219.1606
149,pink,205.5686
150,pink,205.666
151,pink,189.464
