Number,Position_Y,Position_X,Surface_pixels
1,1362,19,4478.5
2,1179,44,8990.0
3,1811,68,12814.0
4,1680,157,42001.0
5,1855,137,15790.0
6,1066,69,7987.0
7,877,86,19995.5
8,659,300,44535.0
9,1503,235,36109.5
10,1331,208,32271.0
11,1099,123,7331.0
12,338,337,97274.0
13,976,195,13232.5
14,604,251,25165.5
15,1826,249,2765.5
16,1293,317,21876.5
17,1447,299,8797.5
18,1702,291,4895.0
19,1805,338,9235.0
20,1452,413,9102.0
21,1741,415,14595.5
22,1535,503,24104.5
23,1331,454,9922.0
24,119,454,3859.5
25,123,564,30883.5
26,849,684,39375.5
27,440,601,8678.5
28,558,652,22298.5
29,1023,709,49760.0
30,1428,701,17414.0
31,752,801,27256.5
32,656,851,11666.5
33,995,834,3282.0
34,1134,862,14491.5
35,991,970,29355.0
36,844,966,17646.0
37,349,922,10072.0
38,529,941,11009.0
39,366,1005,18799.0
40,822,1115,46306.0
41,427,1211,53099.5
42,218,1164,14057.0
43,1122,1204,6794.0
44,926,1234,3947.0
45,1031,1292,27574.5
46,156,1304,37621.0
47,747,1301,28579.0
48,1181,1399,30275.5
49,222,1418,22244.5
50,442,1465,40675.0
51,605,1488,23693.0
52,1077,1411,4478.0
53,324,1425,2110.0
54,221,1597,28555.0
55,1644,1721,14016.5
56,1480,1628,2295.0
57,349,1745,33230.5
58,1433,1762,26619.0
59,1561,1760,2082.0
60,215,1848,28611.5
61,1370,1837,10879.0
62,1591,1857,20331.0
63,1814,1890,26852.5
64,1489,1878,8683.5
65,1523,2027,34544.5
66,1748,2020,3740.5
67,1816,2129,38596.5
68,1395,2110,2931.0
69,1629,2106,1842.0
70,1468,2131,7274.5
71,1584,2173,8217.5
72,1642,2213,3818.5
73,1724,2241,9834.5
74,1551,2296,31764.5
75,1851,2305,5538.0
76,663,2380,45956.0
77,1340,2398,20869.0
78,1809,2342,7759.0
79,1707,2356,2400.5
80,1159,2494,37431.0
81,1802,2388,1179.0
82,1559,2451,6493.5
83,1850,2419,1684.5
84,1749,2449,11596.5
85,1317,2543,21974.5
86,1597,2495,12640.5
87,1826,2509,6383.0
88,1892,2518,2631.5
89,1706,2546,16606.0
90,693,2581,39957.5
91,937,2621,49281.5
92,1228,2613,14058.5
93,514,2601,13326.0
94,451,2651,16713.0
95,1771,2616,17671.5
96,1592,2623,7080.5
97,239,2762,39582.5
98,1324,2744,15405.5
99,591,2727,13133.5
100,371,2784,22205.5
101,1060,2698,4547.0
102,1429,2796,40768.5
103,1743,2754,26828.0
104,734,2770,28008.0
105,1883,2744,5589.0
106,1134,2797,32155.0
107,1593,2755,13046.0
108,855,2731,1741.5
109,30,2798,6638.5
110,954,2806,20921.5
111,506,2802,16510.5
112,847,2788,2285.0
113,98,2848,12041.0
114,1697,2847,9290.0
115,615,2854,5339.0
116,1600,2903,26777.5
117,1883,2856,3035.5
118,883,2892,11724.5
119,143,2966,29367.0
120,436,2872,1143.5
121,1724,2987,31056.0
122,670,2923,19705.5
123,1052,2959,21642.5
124,484,2931,14182.5
125,1865,2960,8091.0
126,770,3035,35173.0
127,430,3005,19157.0
128,942,3035,14019.0
129,653,3129,29967.0
130,1855,3144,17739.0
131,1785,3113,8059.5
132,73,3139,3886.5
133,210,3111,4295.0
134,105,3120,1791.5
135,143,3174,12970.5
136,252,3195,8264.5
137,1791,3279,40243.5
138,50,3239,1078.5
139,66,3304,9126.5
140,159,3389,8720.5
141,903,3394,23858.0
142,93,3404,6439.0
143,49,3394,3153.5
144,23,3488,5773.0
145,91,3483,3210.5
146,1175,3539,27626.5
147,934,3552,21089.5
148,1433,3555,28724.5
149,721,3556,22580.5
150,884,3591,7989.5
151,1388,3602,11263.5
